date,market,ticker,name,high,close,change_pct
2026-08-10,JP,6098.T,リクルートHD,16165.0,16165.0,22.79
2026-08-11,US,ABNB,Airbnb,187.12,184.98,0.15
2026-08-11,US,AMGN,Amgen,421.79,414.3,-0.7
2026-08-11,US,AMP,Ameriprise Financial,565.28,562.98,0.98
2026-08-11,US,BAC,Bank of America,64.27,64.0,0.22
2026-08-11,US,CAH,Cardinal Health,258.3,240.26,1.3
2026-08-11,US,CPAY,Corpay,409.68,406.16,1.32
2026-08-11,US,CRL,Charles River Laboratories,282.29,282.0,1.81
2026-08-11,US,DXCM,Dexcom,89.56,89.53,2.14
2026-08-11,US,ETN,Eaton Corporation,463.75,459.29,3.22
2026-08-11,US,FAST,Fastenal,52.92,52.38,0.44
2026-08-11,US,JPM,JPMorgan Chase,363.12,362.04,0.63
2026-08-11,US,LH,Labcorp,323.97,322.42,0.35
2026-08-11,US,MPC,Marathon Petroleum,336.42,336.42,5.03
2026-08-11,US,PANW,Palo Alto Networks,387.2,383.8,-0.32
2026-08-11,US,PSX,Phillips 66,224.68,224.36,4.1
2026-08-11,US,SWK,Stanley Black & Decker,104.67,104.0,1.33
2026-08-11,US,TGT,Target Corporation,154.87,152.29,0.18
2026-08-11,US,VLO,Valero Energy,324.37,323.92,2.85
2026-08-11,US,WAT,Waters Corporation,415.63,415.0,0.78
2026-08-11,US,WSM,"Williams-Sonoma, Inc.",254.86,250.59,-0.09
2026-08-11,US,ZBRA,Zebra Technologies,385.11,383.06,1.32
