ticker,name,時価総額億円,売上成長%,ROE%,52週位置%,close
3723.T,日本ファルコム,268,160.0,14.9,85.4,2716.0
3454.T,ファーストブラザーズ,175,121.3,14.9,83.6,1250.0
3490.T,アズ企画設計,47,101.2,14.2,69.7,3125.0
4415.T,ブロードエンタープライズ,88,88.1,34.5,84.1,1440.0
7175.T,今村証券,85,80.6,11.3,73.0,1656.0
6335.T,東京機械製作所,57,78.1,11.2,68.5,726.0
8596.T,九州リースサービス,346,69.6,9.0,82.4,1530.0
7089.T,フォースタートアップス,110,64.6,25.5,95.6,1707.0
7318.T,セレンディップ・ホールディングス,383,63.7,34.1,70.7,2105.0
6267.T,ゼネラルパッカー,67,60.4,12.9,69.1,3965.0
8704.T,トレイダーズホールディングス,349,58.6,24.3,96.8,1324.0
8700.T,丸八証券,78,51.8,12.3,76.4,1950.0
7480.T,スズデン,432,47.7,12.3,100.0,3405.0
2180.T,サニーサイドアップグループ,194,46.9,33.2,98.8,1309.0
7523.T,アールビバン,174,45.1,10.7,75.5,1898.0
7069.T,サイバー・バズ,52,43.2,78.5,67.0,644.0
4493.T,サイバーセキュリティクラウド,195,42.2,22.1,69.2,1929.0
6144.T,西部電機,467,41.1,12.4,76.4,3110.0
2404.T,鉄人化ホールディングス,78,40.1,54.0,67.0,581.0
2788.T,アップルインターナショナル,52,36.1,10.8,96.3,406.0
4389.T,プロパティデータバンク,109,35.7,20.0,76.0,1054.0
1847.T,イチケン,406,35.7,17.3,69.4,2790.0
7120.T,ＳＨＩＮＫＯ,49,35.4,33.6,80.6,1044.0
6570.T,共和コーポレーション,128,32.2,20.8,95.4,2142.0
4255.T,ＴＨＥＣＯＯ,54,31.1,58.6,91.5,2587.0
7047.T,ポート,344,30.8,8.6,85.5,2623.0
3173.T,Ｃｏｍｉｎｉｘ,76,29.1,8.5,95.3,1104.0
4441.T,トビラシステムズ,157,27.0,23.3,77.8,1520.0
4258.T,網屋,380,26.8,37.6,83.0,4620.0
2597.T,ユニカフェ,155,26.6,11.0,89.5,1160.0
9344.T,アクシスコンサルティング,46,26.4,17.2,75.8,927.0
6912.T,菊水ホールディングス,199,24.9,12.6,74.7,2395.0
3467.T,アグレ都市デザイン,157,24.2,24.4,83.3,2737.0
7608.T,エスケイジャパン,135,23.5,22.2,66.7,804.0
6392.T,ヤマダコーポレーション,180,22.5,9.9,84.0,7520.0
7082.T,ジモティー,137,22.0,32.6,68.2,1405.0
4193.T,ファブリカホールディングス,122,21.1,18.4,90.7,2378.0
