ticker,name,時価総額億円,売上成長%,ROE%,52週位置%,close,MA25乖離%,MA75乖離%,RSI14,出来高倍率
3723.T,日本ファルコム,268,160.0,14.9,85.3,2714.0,1.2,9.7,59.9,0.8
3454.T,ファーストブラザーズ,176,121.3,14.9,86.0,1257.0,0.2,4.0,53.1,0.36
3490.T,アズ企画設計,47,101.2,14.2,73.9,3150.0,2.6,7.8,80.0,0.76
4415.T,ブロードエンタープライズ,89,88.1,34.5,83.7,1442.0,7.5,13.2,67.6,0.96
7175.T,今村証券,87,80.6,11.3,78.3,1700.0,7.3,19.2,65.4,0.75
6335.T,東京機械製作所,57,78.1,11.2,66.7,717.0,1.3,16.4,57.1,0.28
8596.T,九州リースサービス,360,69.6,9.0,91.6,1590.0,5.7,9.5,71.9,1.11
7089.T,フォースタートアップス,101,64.6,25.5,79.9,1572.0,-1.2,3.9,52.5,2.34
6267.T,ゼネラルパッカー,68,60.4,12.9,74.4,4050.0,2.5,6.9,54.5,0.63
8704.T,トレイダーズホールディングス,342,58.6,24.3,90.1,1297.0,2.4,9.3,56.9,1.23
8700.T,丸八証券,78,51.8,12.3,76.8,1952.0,2.2,8.3,61.9,2.17
7480.T,スズデン,429,47.7,12.3,89.1,3385.0,31.0,52.1,77.7,3.67
3168.T,ＭＥＲＦ,209,47.4,23.6,67.5,1480.0,14.9,7.0,77.2,0.91
2180.T,サニーサイドアップグループ,194,46.9,33.2,98.5,1307.0,0.0,4.7,55.6,0.06
7523.T,アールビバン,174,45.1,10.7,75.4,1898.0,2.3,11.0,25.0,0.95
6144.T,西部電機,457,41.1,12.4,71.5,3040.0,3.4,4.8,57.1,0.85
2788.T,アップルインターナショナル,52,36.1,10.8,95.1,405.0,4.3,9.7,72.2,1.18
1847.T,イチケン,473,35.7,17.3,97.3,3260.0,19.9,22.9,82.0,0.96
4389.T,プロパティデータバンク,113,35.7,20.0,84.8,1090.0,3.6,18.2,71.3,0.82
7120.T,ＳＨＩＮＫＯ,48,35.4,33.6,75.6,1024.0,-3.5,1.5,18.6,0.37
6570.T,共和コーポレーション,126,32.2,20.8,91.8,2102.0,4.4,21.5,73.4,0.63
4255.T,ＴＨＥＣＯＯ,54,31.1,58.6,89.4,2548.0,3.2,7.0,56.7,0.32
7047.T,ポート,340,30.8,8.6,82.6,2593.0,3.6,10.9,55.9,0.62
3173.T,Ｃｏｍｉｎｉｘ,84,29.1,8.5,89.3,1228.0,14.3,23.1,97.3,2.51
4441.T,トビラシステムズ,158,27.0,23.3,79.7,1535.0,-0.9,11.4,54.5,0.88
4258.T,網屋,391,26.8,37.6,88.7,4760.0,7.0,31.5,66.3,0.62
2597.T,ユニカフェ,158,26.6,11.0,96.5,1178.0,2.8,6.9,89.2,0.99
9344.T,アクシスコンサルティング,47,26.4,17.2,82.6,944.0,1.6,1.0,64.4,0.83
7565.T,萬世電機,116,26.0,9.1,74.8,7150.0,5.6,13.0,72.4,0.62
5575.T,Ｇｌｏｂｅｅ,52,24.9,32.0,72.3,1060.0,15.7,38.4,57.6,0.46
6912.T,菊水ホールディングス,191,24.9,12.6,66.4,2298.0,12.1,7.9,68.5,2.68
1853.T,森組,111,24.8,17.4,68.9,338.0,3.1,5.4,70.6,0.51
3467.T,アグレ都市デザイン,157,24.2,24.4,81.4,2723.0,0.2,7.2,53.7,0.89
3826.T,システムインテグレータ,55,23.9,12.5,69.6,504.0,10.8,12.4,76.8,2.8
7608.T,エスケイジャパン,135,23.5,22.2,66.3,802.0,1.6,3.5,66.1,0.75
6392.T,ヤマダコーポレーション,180,22.5,9.9,83.7,7510.0,1.4,4.7,56.9,3.14
7082.T,ジモティー,137,22.0,32.6,68.2,1405.0,0.0,8.3,57.1,0.08
4193.T,ファブリカホールディングス,122,21.1,18.4,90.7,2378.0,1.8,5.0,69.7,0.62
