ticker,name,時価総額億円,売上成長%,ROE%,52週位置%,close,RS%,MA25乖離%,MA75乖離%,RSI14,出来高倍率
6045.T,レントラックス,196.4,1060.6,59.3,89.1,2394.0,99.0,30.0,48.4,81.5,3.77
6862.T,ミナトホールディングス,242.9,343.4,60.8,74.1,3335.0,98.0,21.2,39.6,67.7,0.72
3454.T,ファーストブラザーズ,180.4,121.3,14.9,88.0,1276.0,61.0,0.6,4.1,56.7,0.37
3490.T,アズ企画設計,46.4,101.2,14.2,95.8,3280.0,86.0,4.4,10.0,82.4,1.84
3131.T,シンデン・ハイテックス,112.5,100.4,11.7,74.4,6020.0,100.0,17.2,48.4,64.2,0.97
4937.T,Ｗａｑｏｏ,83.0,88.0,22.0,84.7,2284.0,97.0,20.5,38.2,74.9,1.25
4415.T,ブロードエンタープライズ,86.2,87.4,38.8,79.4,1422.0,84.0,3.7,9.8,43.5,4.54
7175.T,今村証券,102.4,80.6,11.3,98.2,1975.0,98.0,13.1,31.6,84.2,1.33
7213.T,レシップホールディングス,102.6,73.6,21.2,98.0,682.0,86.0,6.2,13.0,76.5,0.74
6570.T,共和コーポレーション,219.8,69.5,25.5,78.1,3715.0,100.0,31.5,75.3,76.1,4.73
4125.T,三和油化工業,159.0,61.7,10.0,86.6,3750.0,98.0,4.3,16.7,65.6,0.42
3374.T,内外テック,151.3,60.0,10.4,87.5,4320.0,97.0,14.6,28.1,66.1,0.64
8704.T,トレイダーズホールディングス,369.1,58.6,24.3,94.2,1400.0,91.0,6.4,13.9,63.2,0.91
3723.T,日本ファルコム,278.4,53.2,15.7,88.9,2851.0,90.0,3.2,10.1,60.5,0.73
8700.T,丸八証券,88.6,51.8,12.3,92.3,2025.0,82.0,2.9,10.3,75.9,1.08
7480.T,スズデン,445.7,47.7,12.3,93.7,3475.0,99.0,13.6,39.0,45.0,1.26
7695.T,交換できるくん,69.1,47.3,13.0,90.7,914.0,90.0,16.5,20.7,81.4,1.04
3241.T,ウィル,69.9,44.1,17.4,74.6,605.0,44.0,2.2,3.6,66.7,0.47
4377.T,ワンキャリア,488.2,43.4,31.4,73.2,2551.0,96.0,14.0,25.0,71.6,0.91
8996.T,ハウスフリーダム,42.5,38.8,25.4,92.1,1109.0,77.0,3.8,8.9,73.5,0.68
7089.T,フォースタートアップス,98.1,38.3,27.5,73.4,1514.0,20.0,-5.6,-3.1,32.2,1.02
4629.T,大伸化学,99.1,38.0,8.4,86.6,2150.0,65.0,5.2,10.5,61.2,0.36
8596.T,九州リースサービス,368.5,31.8,9.7,82.5,1609.0,80.0,1.1,8.0,51.6,0.53
4255.T,ＴＨＥＣＯＯ,75.0,31.1,58.6,88.5,3550.0,98.0,19.5,35.8,76.9,1.01
3173.T,Ｃｏｍｉｎｉｘ,107.1,30.3,13.2,78.7,1545.0,99.0,19.3,41.3,70.9,1.6
6863.T,ニレコ,209.4,29.0,8.9,88.5,983.0,85.0,4.8,9.0,56.7,0.43
9344.T,アクシスコンサルティング,65.7,26.4,17.2,84.1,1321.0,97.0,24.8,34.9,75.2,1.66
7565.T,萬世電機,135.7,26.0,9.1,86.8,8100.0,96.0,8.4,21.7,71.6,0.39
6138.T,ダイジェット工業,60.4,25.2,11.9,87.9,2038.0,100.0,28.1,60.6,84.6,1.28
6912.T,菊水ホールディングス,201.2,24.9,12.6,75.7,2406.0,88.0,6.7,13.0,51.4,0.72
5575.T,Ｇｌｏｂｅｅ,61.2,24.9,32.0,89.0,1264.0,100.0,12.3,50.1,66.5,0.78
2788.T,アップルインターナショナル,56.7,24.5,12.3,93.8,434.0,83.0,7.3,13.6,64.4,1.59
9908.T,日本電計,325.9,23.4,12.8,98.3,2813.0,76.0,4.9,8.4,59.3,1.3
4994.T,大成ラミックグループ,172.0,22.6,8.6,90.1,2833.0,94.0,6.2,16.3,69.4,1.51
6994.T,指月電機製作所,309.9,21.0,8.4,73.2,1253.0,82.0,12.3,8.4,60.2,0.47
7133.T,ＨＹＵＧＡ　ＰＲＩＭＡＲＹ　ＣＡＲＥ,92.6,20.4,19.6,87.8,1309.0,97.0,3.9,16.7,77.2,1.12
7217.T,テイン,45.0,20.0,8.3,87.0,453.0,41.0,2.3,4.7,64.5,2.91
