ticker,name,時価総額億円,売上成長%,ROE%,52週位置%,close,MA25乖離%,MA75乖離%,RSI14,出来高倍率
3723.T,日本ファルコム,271,160.0,14.9,87.1,2747.0,2.6,10.7,63.4,0.79
3454.T,ファーストブラザーズ,177,121.3,14.9,89.3,1265.0,0.7,4.6,54.0,0.29
3490.T,アズ企画設計,48,101.2,14.2,76.4,3165.0,2.9,8.1,80.9,0.75
4415.T,ブロードエンタープライズ,88,88.1,34.5,80.5,1425.0,5.7,11.7,63.4,1.11
4937.T,Ｗａｑｏｏ,70,88.0,22.0,100.0,1968.0,29.8,30.8,81.7,1.11
7175.T,今村証券,87,80.6,11.3,78.7,1703.0,6.7,19.1,56.9,0.76
7213.T,レシップホールディングス,100,73.6,21.2,98.1,646.0,4.0,12.1,63.2,0.88
3934.T,ベネフィットジャパン,138,70.3,11.9,77.6,2345.0,6.1,6.9,61.7,0.9
4125.T,三和油化工業,167,61.7,10.0,91.9,3865.0,14.1,22.4,59.5,1.08
6267.T,ゼネラルパッカー,67,60.4,12.9,70.9,4005.0,1.2,5.6,50.0,0.59
3374.T,内外テック,147,60.0,10.4,100.0,4210.0,26.0,34.7,69.9,1.32
8704.T,トレイダーズホールディングス,351,58.6,24.3,96.5,1330.0,4.8,11.7,57.5,0.83
8700.T,丸八証券,78,51.8,12.3,76.6,1951.0,1.8,8.1,53.8,1.24
7480.T,スズデン,422,47.7,12.3,86.3,3330.0,27.3,48.3,74.8,3.43
3168.T,ＭＥＲＦ,226,47.4,23.6,75.7,1594.0,22.6,14.9,92.2,1.14
2180.T,サニーサイドアップグループ,194,46.9,33.2,98.5,1307.0,0.0,4.3,55.6,0.06
6144.T,西部電機,457,41.1,12.4,71.5,3040.0,3.3,4.7,56.4,0.76
8996.T,ハウスフリーダム,41,38.8,25.4,81.6,1073.0,4.3,6.7,66.7,1.75
7089.T,フォースタートアップス,103,38.2,27.5,82.1,1592.0,0.0,5.0,52.9,2.51
4629.T,大伸化学,98,38.0,8.4,87.2,2150.0,12.8,11.7,75.2,2.66
2788.T,アップルインターナショナル,50,36.1,10.8,74.1,388.0,-0.2,4.9,44.8,1.9
4389.T,プロパティデータバンク,114,35.7,20.0,88.5,1105.0,4.6,19.3,70.2,0.91
7120.T,ＳＨＩＮＫＯ,49,35.4,33.6,76.1,1034.0,-2.5,2.3,27.4,0.38
6570.T,共和コーポレーション,156,32.2,20.8,100.0,2602.0,27.4,48.9,88.1,2.93
8596.T,九州リースサービス,369,31.8,9.7,100.0,1630.0,7.9,12.0,72.8,1.23
4255.T,ＴＨＥＣＯＯ,55,31.1,58.6,92.0,2600.0,5.2,8.9,71.2,0.29
7047.T,ポート,342,30.8,8.6,83.7,2605.0,3.8,11.3,54.7,0.63
3173.T,Ｃｏｍｉｎｉｘ,86,29.1,8.5,96.1,1259.0,16.3,25.7,97.6,2.95
6863.T,ニレコ,67,29.0,8.9,78.7,940.0,3.0,9.1,57.7,1.03
4441.T,トビラシステムズ,157,27.0,23.3,78.0,1521.0,-2.1,10.3,41.6,0.8
4258.T,網屋,392,26.8,37.6,89.1,4770.0,6.9,30.9,66.8,0.64
2597.T,ユニカフェ,157,26.6,11.0,93.7,1171.0,2.0,6.2,76.7,1.06
9344.T,アクシスコンサルティング,47,26.4,17.2,81.6,942.0,1.3,0.8,67.4,0.68
7565.T,萬世電機,120,26.0,9.1,82.2,7400.0,8.5,16.7,95.0,1.15
6138.T,ダイジェット工業,47,25.2,11.9,100.0,1572.0,33.8,40.1,77.7,3.07
3422.T,Ｊ－ＭＡＸ,80,25.0,9.7,100.0,700.0,39.9,46.5,87.6,7.5
5575.T,Ｇｌｏｂｅｅ,54,24.9,32.0,79.9,1110.0,18.8,44.2,51.6,0.43
6912.T,菊水ホールディングス,194,24.9,12.6,68.7,2325.0,12.7,9.1,69.0,1.29
3467.T,アグレ都市デザイン,156,24.2,24.4,79.8,2714.0,-0.2,6.6,48.1,0.87
7608.T,エスケイジャパン,141,23.5,22.2,75.3,840.0,6.3,8.4,67.9,0.99
9908.T,日本電計,303,23.4,12.8,83.8,2671.0,0.8,4.8,49.7,1.92
4994.T,大成ラミックグループ,162,22.6,8.6,76.2,2664.0,6.1,12.5,72.3,1.0
7082.T,ジモティー,137,22.0,32.6,68.2,1405.0,0.0,7.7,57.1,0.11
7185.T,ヒロセ通商,242,21.6,10.9,70.5,3930.0,0.9,3.1,66.7,0.93
4193.T,ファブリカホールディングス,123,21.1,18.4,92.6,2389.0,2.1,5.4,66.8,0.67
1770.T,藤田エンジニアリング,192,21.0,9.7,67.6,2095.0,-1.3,10.7,51.9,0.68
7217.T,テイン,45,20.0,8.3,97.0,457.0,7.3,6.6,67.9,3.46
