date,market,ticker,name,high,close,change_pct
2026-08-19,JP,9101.T,日本郵船,6893.0,6733.0,-0.75
2026-08-19,US,ABNB,Airbnb,189.2,186.39,1.71
2026-08-19,US,AMGN,Amgen,443.19,442.36,4.02
2026-08-19,US,BDX,Becton Dickinson,187.93,187.6,3.78
2026-08-19,US,BIIB,Biogen,222.15,221.56,4.24
2026-08-19,US,BMY,Bristol Myers Squibb,68.64,67.61,2.36
2026-08-19,US,CRL,Charles River Laboratories,294.55,290.0,3.87
2026-08-19,US,DGX,Quest Diagnostics,242.39,241.76,2.33
2026-08-19,US,JNJ,Johnson & Johnson,276.47,273.41,0.85
2026-08-19,US,LH,Labcorp,331.2,330.44,2.56
2026-08-19,US,LLY,Lilly (Eli),1292.65,1280.34,4.46
2026-08-19,US,MRK,Merck & Co.,153.47,152.2,12.6
2026-08-19,US,MRNA,Moderna,176.66,174.38,176.97
2026-08-19,US,PSX,Phillips 66,244.73,242.29,-0.49
2026-08-19,US,REGN,Regeneron Pharmaceuticals,844.9,840.84,3.78
2026-08-19,US,RVTY,Revvity,122.11,119.45,5.01
2026-08-19,US,TGT,Target Corporation,161.98,159.0,4.28
2026-08-19,US,VRTX,Vertex Pharmaceuticals,553.69,552.06,4.52
