ticker,name,時価総額億ドル,売上成長%,ROE%,52週位置%,close,MA25乖離%,MA75乖離%,RSI14,出来高倍率
BBT,Beacon Financial Corp.,26.4,144.5,8.4,87.1,31.540000915527344,3.0,5.5,61.4,0.76
FBK,FB Financial Corp.,30.4,130.2,11.1,89.0,60.7400016784668,2.5,9.4,60.4,0.78
ADAM,"Adamas Trust, Inc.",8.8,129.8,16.4,96.3,9.789999961853027,7.6,9.0,76.4,0.87
LPG,Dorian LPG Ltd.,19.0,124.0,28.3,85.0,44.459999084472656,2.7,7.4,50.1,0.88
NIC,Nicolet Bankshares,36.3,86.1,8.9,94.8,173.33999633789062,2.5,12.3,62.9,0.56
INSW,"International Seaways, Inc.",44.8,78.5,26.9,86.3,90.4000015258789,0.0,5.9,49.8,0.97
WT,"WisdomTree Investments, Inc.",33.6,57.3,18.7,92.3,22.190000534057617,10.8,18.1,58.2,1.12
PARR,"Par Pacific Holdings, Inc.",35.9,56.8,53.5,74.4,71.66999816894531,-4.5,11.8,38.2,1.4
PLMR,"Palomar Holdings, Inc.",34.6,54.7,22.2,65.6,131.5,-3.8,7.0,44.6,1.13
KALU,Kaiser Aluminum Corporation,30.6,52.7,26.4,92.9,187.10000610351562,12.8,7.2,61.8,0.93
AAMI,Acadian Asset Management Inc.,32.2,45.3,106.8,94.5,90.72000122070312,8.1,19.2,64.9,0.73
RNST,Renasant Corp.,39.0,45.3,8.2,84.0,42.70000076293945,-1.2,2.3,41.2,0.69
KTB,Kontoor Brands,42.7,45.0,53.2,64.0,77.16999816894531,-8.2,0.0,32.4,0.95
QNST,"QuinStreet, Inc.",12.6,42.7,28.6,97.7,22.020000457763672,32.3,56.5,77.8,2.04
INDB,Independent Bank Corp.,39.7,41.5,8.2,84.8,83.81999969482422,-0.9,3.0,42.8,0.75
MBIN,Merchants Bancorp,24.8,37.1,11.7,89.2,54.0099983215332,6.5,10.9,67.9,0.84
HRMY,"Harmony Biosciences Holdings, Inc.",22.7,30.3,20.5,87.8,39.0,7.4,15.4,60.2,1.35
SFBS,"ServisFirst Bancshares, Inc.",48.4,30.1,17.3,86.4,88.44999694824219,0.9,7.1,53.4,0.65
VIRT,"Virtu Financial, Inc.",49.2,29.1,53.6,66.1,55.66999816894531,-6.4,-0.6,42.2,0.83
EFC,"Ellington Financial, Inc.",17.5,28.0,12.2,77.1,13.470000267028809,0.2,0.1,49.4,1.08
CXW,CoreCivic,32.6,27.3,8.8,90.3,33.0,6.1,25.4,57.6,1.37
PRK,Park National Corp.,36.3,25.7,12.6,78.7,200.94000244140625,3.3,11.0,62.5,0.83
UCB,"United Community Banks, Inc.",42.7,24.4,10.3,79.1,35.400001525878906,-0.5,3.4,50.7,0.72
HAFC,Hanmi Financial Corporation,9.4,23.3,11.3,83.3,31.68000030517578,-1.2,1.8,41.2,0.83
NWBI,"Northwest Bancshares, Inc.",22.7,23.2,8.6,86.4,15.489999771118164,0.2,5.9,51.1,0.87
JOE,St. Joe Company,37.7,23.0,16.2,73.3,66.27999877929688,6.3,3.4,77.1,0.85
KAI,Kadant Inc.,39.4,22.6,11.3,78.6,333.4800109863281,7.0,7.4,70.6,0.99
PRG,"PROG Holdings, Inc.",16.8,22.3,17.1,74.8,42.20000076293945,-5.2,7.0,38.0,0.94
BLFS,"BioLife Solutions, Inc.",16.9,21.5,12.8,98.3,34.63999938964844,13.2,30.6,77.6,0.48
RELY,Remitly,48.7,20.2,32.2,73.4,23.139999389648438,-2.6,4.2,46.6,1.18
