market,ticker,name,close,RS%,52週位置%,ボラ収縮,出来高倍率,MA25乖離%,RSI14,タイプ
JP,2962.T,テクニスコ,2231.0,100.0,98.2,0.66,1.23,33.4,75.3,PEAD
JP,3787.T,テクノマセマティカル,676.0,100.0,78.3,0.88,6.21,72.8,84.9,PEAD
JP,4052.T,フィーチャ,985.0,100.0,54.6,0.8,2.2,29.7,56.9,PEAD
JP,4075.T,ブレインズテクノロジー,1591.0,100.0,61.6,0.94,6.97,36.3,62.2,PEAD
JP,5242.T,アイズ,2380.0,100.0,65.5,0.48,0.12,4.0,53.2,PEAD
JP,6191.T,エアトリ,1644.0,100.0,88.8,0.97,8.37,65.2,89.5,PEAD
JP,8995.T,誠建設工業,1939.0,100.0,54.0,0.7,2.5,4.7,56.9,PEAD
JP,2612.T,かどや製油,2880.0,99.0,99.9,0.94,8.56,33.9,87.6,PEAD
JP,3187.T,ミラタップ,417.0,99.0,78.3,0.52,3.1,11.3,72.9,PEAD
JP,4417.T,グローバルセキュリティエキスパート,5720.0,99.0,94.4,0.66,2.08,22.0,66.8,PEAD
JP,4667.T,アイサンテクノロジー,3410.0,99.0,73.9,0.85,1.16,20.6,52.7,PEAD
JP,4933.T,Ｉ－ｎｅ,2370.0,99.0,98.8,0.8,5.05,52.8,90.4,PEAD
JP,7363.T,ベビーカレンダー,1649.0,99.0,65.4,0.41,5.25,25.8,86.3,PEAD
JP,7689.T,コパ・コーポレーション,513.0,99.0,95.0,0.93,7.19,45.2,72.9,PEAD
JP,8848.T,レオパレス２１,1040.0,99.0,95.7,0.96,5.64,49.8,91.8,PEAD
JP,4174.T,アピリッツ,1002.0,98.0,58.9,0.74,6.08,11.4,68.9,PEAD
JP,6203.T,豊和工業,2538.0,98.0,73.2,0.91,4.3,38.3,67.6,PEAD
JP,7475.T,アルビス,3765.0,98.0,99.3,0.97,3.69,30.3,95.7,PEAD
JP,4762.T,エックスネット,2321.0,97.0,89.0,0.44,1.51,8.7,65.7,PEAD
JP,5542.T,新報国マテリアル,1236.0,97.0,93.9,0.78,6.96,28.1,81.6,PEAD
JP,6317.T,北川鉄工所,2535.0,97.0,99.0,0.92,5.83,30.9,84.7,PEAD
JP,5136.T,ｔｒｉｐｌａ,2336.0,95.0,96.2,0.63,3.81,15.7,68.8,PEAD
