ticker,name,時価総額億ドル,売上成長%,ROE%,52週位置%,close,MA25乖離%,MA75乖離%,RSI14,出来高倍率
BBT,Beacon Financial Corp.,26.6,144.5,8.4,86.8,31.510000228881836,3.0,5.5,61.5,0.87
FBK,FB Financial Corp.,30.4,130.2,11.1,89.7,60.84000015258789,3.0,9.7,59.7,0.92
ADAM,"Adamas Trust, Inc.",8.8,129.8,16.4,97.1,9.819999694824219,8.2,9.7,78.0,1.05
LPG,Dorian LPG Ltd.,19.6,124.0,28.3,90.3,45.7599983215332,6.4,10.8,58.5,0.96
NIC,Nicolet Bankshares,36.2,86.1,8.9,93.5,172.5399932861328,2.2,12.1,63.1,0.58
INSW,"International Seaways, Inc.",45.7,78.5,26.9,89.8,92.41000366210938,2.5,8.5,58.8,0.88
HCC,"Warrior Met Coal, Inc.",48.6,71.3,10.0,66.9,91.97000122070312,13.1,5.4,76.7,0.87
WT,"WisdomTree Investments, Inc.",32.2,57.3,18.7,84.8,21.25,6.9,13.5,55.8,1.37
PARR,"Par Pacific Holdings, Inc.",33.2,56.8,53.5,65.5,66.29000091552734,-11.2,3.5,33.7,1.41
PLMR,"Palomar Holdings, Inc.",34.7,54.7,22.2,64.5,131.0,-4.5,6.7,40.5,1.15
KALU,Kaiser Aluminum Corporation,30.2,52.7,26.4,91.0,184.75,11.6,6.0,63.8,0.95
RNST,Renasant Corp.,39.1,45.3,8.2,84.3,42.72999954223633,-1.1,2.5,45.3,0.69
AAMI,Acadian Asset Management Inc.,31.9,45.3,106.8,92.8,89.8499984741211,7.7,18.6,66.3,0.82
KTB,Kontoor Brands,42.6,45.0,53.2,63.7,77.05000305175781,-8.8,-0.1,37.3,0.87
QNST,"QuinStreet, Inc.",12.1,42.7,28.6,98.2,21.079999923706055,28.4,51.0,69.2,1.71
INDB,Independent Bank Corp.,39.7,41.5,8.2,84.7,83.7300033569336,-1.1,2.9,44.3,0.78
MBIN,Merchants Bancorp,24.9,37.1,11.7,90.3,54.25,7.5,11.6,69.2,0.89
HRMY,"Harmony Biosciences Holdings, Inc.",22.4,30.3,20.5,84.0,38.40999984741211,6.0,13.9,68.4,1.42
SFBS,"ServisFirst Bancshares, Inc.",48.6,30.1,17.3,88.3,88.91999816894531,1.5,7.9,65.1,0.69
VIRT,"Virtu Financial, Inc.",49.3,29.1,53.6,66.6,55.849998474121094,-6.6,-0.1,46.9,0.9
EFC,"Ellington Financial, Inc.",17.3,28.0,12.2,81.7,13.600000381469727,1.1,1.1,55.9,1.14
CXW,CoreCivic,31.9,27.3,8.8,90.5,32.27000045776367,4.1,23.5,53.8,1.26
PRK,Park National Corp.,36.7,25.7,12.6,82.4,203.39999389648438,4.9,12.7,66.5,0.93
UCB,"United Community Banks, Inc.",42.5,24.4,10.3,80.4,35.5099983215332,-0.2,3.8,43.4,0.78
HAFC,Hanmi Financial Corporation,9.5,23.3,11.3,85.5,31.90999984741211,-0.6,2.6,46.9,0.93
NWBI,"Northwest Bancshares, Inc.",22.8,23.2,8.6,87.6,15.550000190734863,0.7,6.6,53.6,0.88
JOE,St. Joe Company,38.3,23.0,16.2,77.2,67.3499984741211,8.4,5.1,86.2,0.93
PRG,"PROG Holdings, Inc.",17.1,22.3,17.1,77.7,42.849998474121094,-3.8,9.1,41.6,1.07
BLFS,"BioLife Solutions, Inc.",17.0,21.5,12.8,99.4,34.65999984741211,14.3,31.4,77.9,0.5
