ticker,name,時価総額億ドル,売上成長%,ROE%,52週位置%,close,RS%,MA25乖離%,MA75乖離%,RSI14,出来高倍率
ADAM,"Adamas Trust, Inc.",8.2,129.8,16.4,67.5,9.09000015258789,48.0,-7.4,-2.7,16.5,0.96
LPG,Dorian LPG Ltd.,23.6,124.0,28.3,99.0,55.18000030517578,90.0,10.7,24.5,64.2,0.88
WHD,"Cactus, Inc.",48.5,64.3,13.1,88.9,69.54000091552734,84.0,-1.2,14.1,50.4,0.65
PARR,"Par Pacific Holdings, Inc.",42.4,56.8,53.5,95.7,84.6500015258789,98.0,7.9,22.2,66.2,0.71
CVI,"CVR Energy, Inc.",49.9,55.5,24.3,91.6,49.65999984741211,99.0,24.9,44.3,86.4,1.21
KALU,Kaiser Aluminum Corporation,25.7,52.7,26.4,66.3,157.1999969482422,15.0,-5.6,-8.5,54.6,0.63
QNST,"QuinStreet, Inc.",10.5,42.7,28.6,67.4,18.3799991607666,98.0,-7.1,13.0,27.9,0.87
HRMY,"Harmony Biosciences Holdings, Inc.",24.2,30.3,20.5,89.0,41.52000045776367,84.0,4.2,13.6,68.7,1.31
DAVE,"Dave, Inc.",44.7,29.6,104.8,64.9,350.7099914550781,88.0,0.2,-0.2,48.8,0.6
CXW,CoreCivic,34.5,27.3,8.8,98.1,34.93000030517578,92.0,4.3,15.4,56.7,1.33
HLX,"Helix Energy Solutions Group, Inc.",15.6,23.5,37.6,96.8,10.600000381469727,67.0,13.9,10.6,84.3,1.25
JOE,St. Joe Company,37.5,23.0,16.2,71.7,65.86000061035156,53.0,-2.0,2.0,36.8,0.89
NPK,"National Presto Industries, Inc.",11.0,21.7,10.9,94.2,154.27999877929688,84.0,5.0,15.6,56.0,0.86
BLFS,"BioLife Solutions, Inc.",17.1,21.5,12.8,84.4,34.95000076293945,93.0,-2.3,13.5,30.1,0.82
RELY,Remitly,46.5,20.2,32.2,64.4,21.989999771118164,82.0,-13.0,-4.9,24.6,1.21
