ticker,name,時価総額億円,PBR,PER,配当利回り%,52週位置%,close
7991.T,マミヤ・オーピー,112,0.43,6.5,4.63,7.2,1080.0
7820.T,ニホンフラッシュ,162,0.51,0.5,5.06,6.5,711.0
8869.T,明和地所,191,0.52,5.0,4.92,12.3,814.0
5280.T,ヨシコン,147,0.53,6.0,3.98,6.3,2141.0
4113.T,田岡化学工業,102,0.53,7.0,5.06,5.4,712.0
8585.T,オリエントコーポレーション,1435,0.57,11.7,4.77,6.4,838.0
9994.T,やまや,225,0.61,10.8,3.37,11.1,2077.0
9305.T,ヤマタネ,425,0.67,8.0,3.72,7.3,2014.0
2700.T,木徳神糧,140,0.68,2.6,5.27,0.5,1709.0
4516.T,日本新薬,2326,0.8,7.7,3.59,11.0,3454.0
2329.T,東北新社,688,0.8,9.9,5.41,1.7,500.0
4886.T,あすか製薬ホールディングス,565,0.8,10.5,3.02,6.8,1994.0
9413.T,テレビ東京ホールディングス,872,0.82,11.5,3.06,0.8,3265.0
7377.T,ＤＮホールディングス,144,0.87,10.8,4.57,5.1,1749.0
6294.T,オカダアイヨン,160,0.88,10.8,3.78,12.6,1984.0
8877.T,エスリード,782,0.94,7.0,4.73,11.1,5070.0
3242.T,アーバネットコーポレーション,184,0.96,4.4,4.62,11.3,499.0
3678.T,メディアドゥ,185,0.99,10.1,3.28,3.9,1220.0
5729.T,日本精鉱,153,0.99,3.6,6.41,7.2,1560.0
