ticker,name,時価総額億円,PBR,PER,配当利回り%,52週位置%,close,MA25乖離%,MA75乖離%,RSI14,出来高倍率
5852.T,アーレスティ,168,0.3,4.7,6.24,10.6,673.0,-4.8,-8.6,37.3,0.86
7991.T,マミヤ・オーピー,110,0.42,6.4,4.68,6.0,1069.0,-2.0,-4.3,36.6,1.06
7820.T,ニホンフラッシュ,164,0.52,0.5,4.99,12.4,721.0,0.2,-1.6,54.7,1.25
5280.T,ヨシコン,150,0.53,5.8,3.9,9.8,2180.0,-4.1,-3.0,38.5,2.43
4113.T,田岡化学工業,102,0.53,6.7,5.03,5.8,715.0,-4.5,-6.7,44.1,0.8
9994.T,やまや,226,0.61,10.9,3.36,11.8,2082.0,0.4,-1.6,54.5,0.41
9305.T,ヤマタネ,444,0.7,8.2,3.57,13.8,2103.0,0.1,3.1,49.1,1.28
2329.T,東北新社,688,0.8,9.9,5.41,1.7,500.0,-0.5,-7.6,60.0,0.7
7377.T,ＤＮホールディングス,143,0.87,10.7,4.61,2.3,1736.0,-0.8,-4.5,54.2,0.53
8877.T,エスリード,785,0.95,7.0,4.72,11.8,5090.0,-0.8,-1.6,51.0,0.83
1964.T,中外炉工業,276,0.95,6.1,4.2,13.7,3955.0,-0.6,-4.7,56.0,1.04
