ticker,name,時価総額億円,PBR,PER,配当利回り%,52週位置%,close,RS%,MA25乖離%,MA75乖離%,RSI14,出来高倍率
5852.T,アーレスティ,172,0.31,4.8,6.1,14.6,685.0,25.0,0.1,-3.3,51.9,0.73
6844.T,新電元工業,315,0.43,5.6,3.24,14.6,3105.0,9.0,-6.6,-10.0,19.9,0.59
7991.T,マミヤ・オーピー,112,0.44,6.5,4.62,7.6,1084.0,31.0,0.2,0.1,61.4,0.48
7820.T,ニホンフラッシュ,162,0.51,0.5,5.06,16.4,722.0,27.0,0.9,0.4,60.0,0.8
5280.T,ヨシコン,156,0.55,5.9,3.79,12.3,2208.0,28.0,-0.5,0.3,53.6,0.64
9994.T,やまや,222,0.6,10.7,3.42,9.6,2046.0,16.0,-1.8,-1.6,42.1,1.12
9305.T,ヤマタネ,444,0.71,8.2,3.57,15.9,2110.0,57.0,0.8,2.9,60.6,0.79
2700.T,木徳神糧,150,0.73,5.9,5.19,4.2,1853.0,51.0,5.9,5.0,69.0,1.14
4516.T,日本新薬,2421,0.82,8.1,3.45,15.1,3598.0,7.0,-0.8,-8.4,56.0,1.04
6294.T,オカダアイヨン,159,0.89,10.6,3.81,9.6,1976.0,27.0,-0.0,-0.4,39.9,1.29
6322.T,タクミナ,109,0.96,8.8,3.42,15.0,1580.0,31.0,-0.7,-1.0,48.4,0.39
