date	ticker	name	type	entry_type	entry	target1	target2	stop	note
2026-08-17	7089.T	フォースタートアップス	短期	即	1600	1710	1880	1470	8/17短期筆頭
2026-08-17	4441.T	トビラシステムズ	短期	即	1461	1560	1700	1400	8/17逆張り
2026-08-17	MPC	Marathon Petroleum	短期	即	358	380	400	338	8/17製油
2026-08-17	PANW	Palo Alto Networks	短期	即	375	400	420	340	8/17サイバー
2026-08-17	CRWD	CrowdStrike	短期	即	215	240	260	200	8/17サイバー
2026-08-31	MRK	Merck	短期	即	148.4	160	170	140	8/31PEAD
2026-08-31	4389.T	プロパティデータバンク	短期	ブレイク	1110	1200	1300	1030	8/31条件付き
2026-09-08	GSHD	Goosehead Insurance	短期	ブレイク	70	78	85	63	9/8条件付き
2026-09-08	BLFS	BioLife Solutions	短期	ブレイク	38	42	46	33	9/8条件付き
2026-09-08	URBN	Urban Outfitters	短期	即	80.6	88	95	76	9/8PEAD
2026-09-14	4441.T	トビラシステムズ	短期	ブレイク	1560	1700	1850	1470	9/14条件付き
2026-09-14	5242.T	アイズ	短期	即	2360	2600	2850	2180	9/14二重シグナル
2026-09-14	3994.T	マネーフォワード	短期	ブレイク	6200	6800	7400	5600	9/14条件付き
2026-09-14	2767.T	円谷フィールズHD	短期	ブレイク	2600	2850	3100	2380	9/14条件付き
2026-09-14	PLMR	Palomar Holdings	短期	ブレイク	137	150	165	127	8/31から継続
2026-08-13	4493.T	サイバーセキュリティクラウド	長期	即	1929	3400	10000		8/13テンバガー候補
2026-08-13	4389.T	プロパティデータバンク	長期	即	1105	1900	3100		8/13テンバガー候補
2026-08-13	4441.T	トビラシステムズ	長期	即	1520	2100	3500		8/13テンバガー候補
2026-08-18	4113.T	田岡化学工業	長期	即	727	900	1000		8/18割安カタリスト
2026-08-25	PLMR	Palomar Holdings	長期	即	131	240	300		8/25米テンバガー候補
2026-08-25	HRMY	Harmony Biosciences	長期	即	38	75	120		8/25米テンバガー候補
2026-08-25	BLFS	BioLife Solutions	長期	即	35.5	55	75		8/25米テンバガー候補
2026-09-08	GSHD	Goosehead Insurance	長期	即	67.08	120	180		9/8米テンバガー候補
2026-09-14	4417.T	グローバルセキュリティエキスパート	長期	即	4340	6000	8000		9/14新規
2026-09-14	CORT	Corcept Therapeutics	長期	即	112.79	150	200		9/14新規観察
